Designação;Evento;Data Recebimento;Data Execução;Banda;Número OS;Ocorrência;Observação
AML2000008;pend. comercial;20/01/2016;03/03/2016;0;;;"03/03/2016 - Recebida OS e VTA retificados da Comercial

01/03/2016 - Em revisão de OS e VTA, as informações constantes na OS não estão de acordo com o solicitado pelo cliente.
16/02/2016 - Em revisão de OS e VTA, as informações constantes na OS não estão de acordo com o solicitado pelo cliente.
26/01/2016 - Em revisão de OS e VTA, as informações constantes na OS não estão de acordo com o solicitado pelo cliente.
21/01/2016 - Em revisão de OS e VTA, as informações constantes na OS não estão de acordo com o solicitado pelo cliente. 
20/01/2016 - Agendado jumper na Alog para 22/01"
AML2000008;pend. comercial;26/08/2016;05/09/2016;0;2053/2015/DC/4600;13604;"05/09/2016 - Recebido nova OS e VTA. Corrigido designação e dados do circuito. 
Designação antiga: AMP2000002
Designação nova: AML2000008
30/08/2016 - Aguardando nova OS e VTA.
23/08/2016 - Aguardando nova OS e VTA."
AML2000008;pend. implantação;05/09/2016;06/09/2016;0;2053/2015/DC/4600;13604;05/09/2016 - Encaminhadas OS e VTA atualizadas  para a Engenharia
AML2000008;pend. cliente;08/06/2016;11/07/2016;0;2053/2015/DC/4600;13604;"21/06/2016 - Solicitado que o cliente entre em contato com o NIC.br para pegar o número da porta do equipamento para realizar jumper. Em reagendamento de fusões e jumpers na ponta de Manaus.
07/06/2016 - Solicitado que o cliente entre em contato com o NIC.br para pegar o número da porta do equipamento para realizar jumper. Em reagendamento de fusões e jumpers na ponta de Manaus."
AML2000008;pend. implantação;03/03/2016;15/03/2016;0;2053/2015/DC/4600;13604;"15/03/2016 - Devolvidas OS e VTA para Comercial para revisão. O PTT DF ainda não atende o produto P2P PTT.
07/03/2016 - OS revisada chegou para GERA em 04/03 - em análise prev. para até 08/03.
04/03/2016 - Enviados OS e VTA para a Comercial"
AML2000008;pend. implantação;11/07/2016;18/08/2016;0;2053/2015/DC/4600;13604;"02/08/2016 - Em ativação, previsto para 05/8.
19/07/2016 - Em ativação, previsto para 30/7.
11/07/2016 - Agendado para 15/07 a atividade na ponta de Manaus."
AML2000008;pend. implantação;17/12/2015;20/01/2016;0;2053/2015/DC/4600;13604;"23/12 - Enviados OS e VTA para Engenharia (Cliente irá desativar o circuito AMBL000003 quando for ativado o circuito de transporte AMP2000002)
17/12 - Recebidos OS e VTA da Comercial. OS voltou para retificação"
AML2000008;em ativação;18/08/2016;26/08/2016;0;2053/2015/DC/4600;13604;16/08/2016 - Em ativação, aguardando solução de pendências.
DFBL000022;pend. comercial;31/08/2016;00/00/0000;0;;;"20/09/2016 - Em renegociação com o comercial.
12/09/2016 - Em renegociação com o comercial.
30/08/2016 - Em renegociação com o comercial."
DFBL000022;pend. cliente;26/04/2016;03/05/2016;0;;;26/04/2016 - Em análise da possibilidade de atender o cliente a partir do pop MINICOM.
